行番号,会社名/店舗名,公式URL(G列),問い合わせフォームURL(H列貼付用),備考
79,Living days,https://www.rakuten.co.jp/aubeshop/,,運営:有限会社オーブ(大阪府豊中市)。自社サイト・フォーム見つからず
80,Lumeland 公式ショップ,https://www.rakuten.co.jp/lumeland/,,運営会社情報・自社サイト見つからず(楽天店舗のみ)
81,MARY’S(マリーズ),https://www.rakuten.co.jp/andmagic/,,運営:&MAGIC(東京都世田谷区)。自社サイト・フォーム見つからず
82,MAWA Shop 楽天市場店,https://www.rakuten.co.jp/mawa/,,自社EC https://www.mawa-shop.jp/ ありだがフォームなし。メール info@mawa-shop.jp
84,MeReCare-y(メリケア)楽天市場店,https://www.rakuten.co.jp/merecare/,https://www.rakuten.ne.jp/gold/merecare/contact_us.html,店舗のお問い合わせページ。自社EC https://www.merecare.net/ もあり
85,MIGABER,https://www.rakuten.co.jp/migaber/,,自社サイトなし(楽天・Amazonのみ)
87,monet fav 楽天市場店,https://www.rakuten.co.jp/nisyoshop/,,運営:CANTON株式会社。自社EC https://monet-fav.shop/ にお問い合わせページあり(URL未確認)。メール support@monet-fav.shop
88,MONOTOKI-モノトキ-,https://www.rakuten.co.jp/monotoki/,https://ldhd.co.jp/contact,運営:LocalDesign株式会社のコーポレートサイトのフォーム(検索確認は/en/contact)。店舗メール monotoki-r@ldhd.co.jp
89,moophem(ムーフェム),https://www.rakuten.co.jp/e-me-store/,,自社サイト・フォーム見つからず(Instagram @moophem_official)
90,MOSMEE(モスミー),https://www.rakuten.co.jp/itsube-souken/,,運営:株式会社逸美創健(大阪)。自社サイト・フォーム見つからず
92,MTK SHOP 楽天市場店,https://www.rakuten.co.jp/mtkshop/,https://mitsukin.info/inquiry/,運営:三金商事株式会社(大分)公式サイトのフォーム。個人向けは /inquiry/individual/
94,mucstore,https://www.rakuten.co.jp/mucshop/,,運営:MUC株式会社(千葉県松戸市)。自社サイト・フォーム見つからず
95,MyRelief,https://www.rakuten.co.jp/nby-online/,,自社サイト・フォーム見つからず(myrelief.jpは別団体)
97,NARITA SHOP,https://www.rakuten.co.jp/ntsgmask/,,運営:株式会社成田産業(茨城)。自社サイト・フォーム見つからず
100,Nextオンライン,https://www.rakuten.co.jp/next-online/,,運営:Next up株式会社。自社サイト・フォーム見つからず
102,NICHIGA(楽天市場店),https://www.rakuten.co.jp/auc-garlic/,https://www.garlic.co.jp/contact,運営:日本ガーリック株式会社(群馬県高崎市)公式サイトのフォーム
106,ONE STEP,https://www.rakuten.co.jp/h2brothers/,,運営会社特定できず。自社サイト・フォーム見つからず
107,Onips Vision,https://www.rakuten.co.jp/onips-vision/,,運営:株式会社トライオニプス(東京都八王子市)。自社サイト・フォーム見つからず
108,OriginalSelf合同会社,https://www.originalself.jp/,https://forms.gle/e8E5WU6UuynnfraCA,公式のお問い合わせフォーム(Googleフォーム)。メール info@originalself.jp
109,OutGreen Life,https://www.rakuten.co.jp/outgreenlife/,,運営会社情報見つからず(楽天店舗のみ)
110,OwnLife,https://www.rakuten.co.jp/ownlife/,,運営会社特定できず(同名の別会社が複数存在)
117,RIOUスーツケース専門店,https://www.rakuten.co.jp/ryugaichinomiya/,,自社サイト・フォーム見つからず。メール customer01@ryugaichinomiya.jp
118,RISUKAI,https://www.rakuten.co.jp/auc-risukai/,https://risukai.net/contact,運営:リスカイ株式会社(東京都葛飾区)公式サイトのフォーム。https://risukai.com/pages/otoiawase もあり
121,sarasa design store,https://www.rakuten.co.jp/sarasa-designstore/,,自社EC https://www.sarasa-design.shop/ ありだがフォームURL未確認。メール shop@sarasa-design.com/法人TEL 03-6379-0711
125,SI-K.shops,https://www.rakuten.co.jp/si-k-shops/,,運営会社情報・自社サイト見つからず
132,Sunmine,https://www.rakuten.co.jp/sunmine-mine/,,自社サイト・フォーム見つからず(山口県)。メール sunmine-mine@shop.rakuten.co.jp
133,SUNS-Shop,https://www.rakuten.co.jp/boi-suns/,,運営:株式会社BOISUNS(大阪)。自社サイト・フォーム見つからず
134,SUNSSHOP キャット店,https://www.rakuten.co.jp/sunscat/,,運営:株式会社BOISUNS(SUNS-Shopと同一)。自社サイト・フォーム見つからず
