id,pattern_name,target_url,Subject,body,body2,my_company,dept,name,email,name_kan,tel,zip,address
ec,ec,https://lovechara.jp/,Z世代の購入導線・SNS販促強化のご相談,"株式会社ラブキャラの奥田と申します。

私どもは、ABEMA公式コラボで広告費ゼロ・100万リーチを達成した
Z世代向け恋愛IP「ラブタイプ診断」を運営しており、
その運営で培ったZ世代マーケティングの知見をもとに、
SNSプロモーション・広告運用・キャンペーン企画・集客導線の改善など、
企業様のマーケティング支援を幅広く行っております。

実績記事：https://prtimes.jp/main/html/rd/p/000000011.000172366.html

D2C/EC領域では、広告費の高騰やSNSでの話題化、
初回購入までの離脱にお悩みの企業様が多いのではないかと思います。

私どもでは、SNSキャンペーン企画・広告運用・LINE/CRM導線の改善といったご支援が可能です。
また、実績のある診断コンテンツ（例：商品レコメンド診断・ギフト診断）を活用した
集客・販促企画もご提案できます。

まずは貴社の課題をお伺いしながら、お役に立てそうな施策を
一緒に整理する30分ほどのオンラインの場をいただけないでしょうか？

よろしくお願いいたします。",,株式会社ラブキャラ,営業部,奥田美菜,mina.okuda@lovechara.jp,オクダミナ,03-6821-8427,1500002,東京都渋谷区渋谷２丁目１−９COERE渋谷青山通り9階
juku,juku,https://lovechara.jp/,体験申込・資料請求を増やすマーケ支援のご相談,"株式会社ラブキャラの奥田と申します。

私どもは、ABEMA公式コラボで広告費ゼロ・100万リーチを達成した
Z世代向け恋愛IP「ラブタイプ診断」を運営しており、
その運営で培ったZ世代マーケティングの知見をもとに、
SNSプロモーション・広告運用・キャンペーン企画・集客導線の改善など、
企業様のマーケティング支援を幅広く行っております。

実績記事：https://prtimes.jp/main/html/rd/p/000000011.000172366.html

学習塾・スクール領域では、コース数が多いほど「自分に合う講座が分からない」
「体験申込まで進まない」という離脱が起きやすいのではないかと思います。

私どもでは、広告運用・LP改善・体験申込導線の設計といったご支援が可能です。
また、実績のある診断コンテンツ（例：学習タイプ診断・向いているコース診断）を活用した
集客・販促企画もご提案できます。

まずは貴社の課題をお伺いしながら、お役に立てそうな施策を
一緒に整理する30分ほどのオンラインの場をいただけないでしょうか？

よろしくお願いいたします。",,株式会社ラブキャラ,営業部,奥田美菜,mina.okuda@lovechara.jp,オクダミナ,03-6821-8427,1500002,東京都渋谷区渋谷２丁目１−９COERE渋谷青山通り9階
saiyo,saiyo,https://lovechara.jp/,若手採用の応募数改善・採用マーケ支援のご相談,"株式会社ラブキャラの奥田と申します。

私どもは、ABEMA公式コラボで広告費ゼロ・100万リーチを達成した
Z世代向け恋愛IP「ラブタイプ診断」を運営しており、
その運営で培ったZ世代マーケティングの知見をもとに、
SNSプロモーション・広告運用・キャンペーン企画・集客導線の改善など、
企業様のマーケティング支援を幅広く行っております。

実績記事：https://prtimes.jp/main/html/rd/p/000000011.000172366.html

採用領域では、若年層の応募数不足やミスマッチ、
採用広報の内製リソース不足にお悩みの企業様が多いのではないかと思います。

私どもでは、採用SNS運用・求人広告の改善・応募導線の設計といったご支援が可能です。
また、実績のある診断コンテンツ（例：職種診断・社風マッチ診断）を活用した
集客・販促企画もご提案できます。

まずは貴社の課題をお伺いしながら、お役に立てそうな施策を
一緒に整理する30分ほどのオンラインの場をいただけないでしょうか？

よろしくお願いいたします。",,株式会社ラブキャラ,営業部,奥田美菜,mina.okuda@lovechara.jp,オクダミナ,03-6821-8427,1500002,東京都渋谷区渋谷２丁目１−９COERE渋谷青山通り9階
hoiku,hoiku,https://lovechara.jp/,園児募集・採用につながる情報発信のご相談,"株式会社ラブキャラの奥田と申します。

私どもは、ABEMA公式コラボで広告費ゼロ・100万リーチを達成した
Z世代向け恋愛IP「ラブタイプ診断」を運営しており、
その運営で培ったZ世代マーケティングの知見をもとに、
SNSプロモーション・広告運用・キャンペーン企画・集客導線の改善など、
企業様のマーケティング支援を幅広く行っております。

実績記事：https://prtimes.jp/main/html/rd/p/000000011.000172366.html

園の運営では、教育方針の違いが伝わりづらく、
見学予約や採用応募につながりにくいというお悩みを伺います。

私どもでは、募集/採用広報の改善・SNS発信・見学予約導線の設計といったご支援が可能です。
また、実績のある診断コンテンツ（例：園の雰囲気診断・先生タイプ診断）を活用した
集客・販促企画もご提案できます。

まずは貴社の課題をお伺いしながら、お役に立てそうな施策を
一緒に整理する30分ほどのオンラインの場をいただけないでしょうか？

よろしくお願いいたします。",,株式会社ラブキャラ,営業部,奥田美菜,mina.okuda@lovechara.jp,オクダミナ,03-6821-8427,1500002,東京都渋谷区渋谷２丁目１−９COERE渋谷青山通り9階
kanko,kanko,https://lovechara.jp/,若年層誘客・SNSキャンペーンのご相談,"株式会社ラブキャラの奥田と申します。

私どもは、ABEMA公式コラボで広告費ゼロ・100万リーチを達成した
Z世代向け恋愛IP「ラブタイプ診断」を運営しており、
その運営で培ったZ世代マーケティングの知見をもとに、
SNSプロモーション・広告運用・キャンペーン企画・集客導線の改善など、
企業様のマーケティング支援を幅広く行っております。

実績記事：https://prtimes.jp/main/html/rd/p/000000011.000172366.html

観光・レジャー領域では、若年層の誘客や閑散期の集客、
SNS施策の内製力不足にお悩みではないかと思います。

私どもでは、SNSキャンペーン企画・広告運用・誘客導線の設計といったご支援が可能です。
また、実績のある診断コンテンツ（例：旅タイプ診断）を活用した
集客・販促企画もご提案できます。

まずは貴社の課題をお伺いしながら、お役に立てそうな施策を
一緒に整理する30分ほどのオンラインの場をいただけないでしょうか？

よろしくお願いいたします。",,株式会社ラブキャラ,営業部,奥田美菜,mina.okuda@lovechara.jp,オクダミナ,03-6821-8427,1500002,東京都渋谷区渋谷２丁目１−９COERE渋谷青山通り9階
dmo,dmo,https://lovechara.jp/,若年層誘客・地域プロモーションのご相談,"株式会社ラブキャラの奥田と申します。

私どもは、ABEMA公式コラボで広告費ゼロ・100万リーチを達成した
Z世代向け恋愛IP「ラブタイプ診断」を運営しており、
その運営で培ったZ世代マーケティングの知見をもとに、
SNSプロモーション・広告運用・キャンペーン企画・集客導線の改善など、
企業様のマーケティング支援を幅広く行っております。

実績記事：https://prtimes.jp/main/html/rd/p/000000011.000172366.html

地域の観光振興では、若年層への認知不足や
SNSでの拡散施策にお悩みではないかと思います。

私どもでは、SNSプロモーション・周遊企画・投稿導線の設計といったご支援が可能です。
また、実績のある診断コンテンツ（例：ご当地キャラ診断・旅タイプ診断）を活用した
集客・販促企画もご提案できます。

まずは貴社の課題をお伺いしながら、お役に立てそうな施策を
一緒に整理する30分ほどのオンラインの場をいただけないでしょうか？

よろしくお願いいたします。",,株式会社ラブキャラ,営業部,奥田美菜,mina.okuda@lovechara.jp,オクダミナ,03-6821-8427,1500002,東京都渋谷区渋谷２丁目１−９COERE渋谷青山通り9階
house,house,https://lovechara.jp/,検討初期層との接点づくり・集客支援のご相談,"株式会社ラブキャラの奥田と申します。

私どもは、ABEMA公式コラボで広告費ゼロ・100万リーチを達成した
Z世代向け恋愛IP「ラブタイプ診断」を運営しており、
その運営で培ったZ世代マーケティングの知見をもとに、
SNSプロモーション・広告運用・キャンペーン企画・集客導線の改善など、
企業様のマーケティング支援を幅広く行っております。

実績記事：https://prtimes.jp/main/html/rd/p/000000011.000172366.html

住宅・不動産領域では、検討初期層との接点不足や
資料請求の質にお悩みではないかと思います。

私どもでは、広告運用・LP改善・資料請求/来店予約導線の設計といったご支援が可能です。
また、実績のある診断コンテンツ（例：暮らしタイプ診断・住まい診断）を活用した
集客・販促企画もご提案できます。

まずは貴社の課題をお伺いしながら、お役に立てそうな施策を
一緒に整理する30分ほどのオンラインの場をいただけないでしょうか？

よろしくお願いいたします。",,株式会社ラブキャラ,営業部,奥田美菜,mina.okuda@lovechara.jp,オクダミナ,03-6821-8427,1500002,東京都渋谷区渋谷２丁目１−９COERE渋谷青山通り9階
finance,finance,https://lovechara.jp/,若年層との接点づくり・情報発信のご相談,"株式会社ラブキャラの奥田と申します。

私どもは、ABEMA公式コラボで広告費ゼロ・100万リーチを達成した
Z世代向け恋愛IP「ラブタイプ診断」を運営しており、
その運営で培ったZ世代マーケティングの知見をもとに、
SNSプロモーション・広告運用・キャンペーン企画・集客導線の改善など、
企業様のマーケティング支援を幅広く行っております。

実績記事：https://prtimes.jp/main/html/rd/p/000000011.000172366.html

地域金融機関様では、若年層との接点不足や
金融商品の分かりやすい伝え方にお悩みではないかと思います。

私どもでは、若年層向け企画・SNS発信・相談予約導線の設計といったご支援が可能です。
また、実績のある診断コンテンツ（例：ライフプラン診断）を活用した
集客・販促企画もご提案できます。

まずは貴社の課題をお伺いしながら、お役に立てそうな施策を
一緒に整理する30分ほどのオンラインの場をいただけないでしょうか？

よろしくお願いいたします。",,株式会社ラブキャラ,営業部,奥田美菜,mina.okuda@lovechara.jp,オクダミナ,03-6821-8427,1500002,東京都渋谷区渋谷２丁目１−９COERE渋谷青山通り9階
clinic,clinic,https://lovechara.jp/,予約・相談を増やす集客支援のご相談,"株式会社ラブキャラの奥田と申します。

私どもは、ABEMA公式コラボで広告費ゼロ・100万リーチを達成した
Z世代向け恋愛IP「ラブタイプ診断」を運営しており、
その運営で培ったZ世代マーケティングの知見をもとに、
SNSプロモーション・広告運用・キャンペーン企画・集客導線の改善など、
企業様のマーケティング支援を幅広く行っております。

実績記事：https://prtimes.jp/main/html/rd/p/000000011.000172366.html

クリニック様では、初診前の不安やメニュー選択の難しさが
予約の壁になっているのではないかと思います。

私どもでは、予約導線の改善・広告運用・SNSでの認知づくりといったご支援が可能です。
また、実績のある診断コンテンツ（例：悩み別診断・メニュー診断）を活用した
集客・販促企画もご提案できます。

まずは貴社の課題をお伺いしながら、お役に立てそうな施策を
一緒に整理する30分ほどのオンラインの場をいただけないでしょうか？

よろしくお願いいたします。",,株式会社ラブキャラ,営業部,奥田美菜,mina.okuda@lovechara.jp,オクダミナ,03-6821-8427,1500002,東京都渋谷区渋谷２丁目１−９COERE渋谷青山通り9階
btob,btob,https://lovechara.jp/,リード獲得・コンテンツマーケ支援のご相談,"株式会社ラブキャラの奥田と申します。

私どもは、ABEMA公式コラボで広告費ゼロ・100万リーチを達成した
Z世代向け恋愛IP「ラブタイプ診断」を運営しており、
その運営で培ったZ世代マーケティングの知見をもとに、
SNSプロモーション・広告運用・キャンペーン企画・集客導線の改善など、
企業様のマーケティング支援を幅広く行っております。

実績記事：https://prtimes.jp/main/html/rd/p/000000011.000172366.html

BtoB領域では、CPAの高騰やリードの質、
コンテンツ制作リソースの不足にお悩みではないかと思います。

私どもでは、広告運用・LP改善・リード獲得コンテンツの企画制作といったご支援が可能です。
また、実績のある診断コンテンツ（例：課題診断コンテンツ）を活用した
集客・販促企画もご提案できます。

まずは貴社の課題をお伺いしながら、お役に立てそうな施策を
一緒に整理する30分ほどのオンラインの場をいただけないでしょうか？

よろしくお願いいたします。",,株式会社ラブキャラ,営業部,奥田美菜,mina.okuda@lovechara.jp,オクダミナ,03-6821-8427,1500002,東京都渋谷区渋谷２丁目１−９COERE渋谷青山通り9階
